"State","Item","Model","MAE","RMSE","Type"
"Maryland","Vegetables","ETS",0.0786085877736176,0.199840869989237,"Food"
"Maryland","Dairy","ARIMA",0.125811214055483,0.269763051863671,"Food"
"Maryland","Dairy","ETS",0.139334903126967,0.27169680505958,"Food"
"Maryland","Seafood","ARIMA",0.103074646834599,0.23136433876887,"Food"
"Maryland","Seafood","ETS",0.106356086223912,0.231329358308455,"Food"
"Maryland","Fruits","ARIMA",0.0307617187499653,0.124019592706153,"Food"
"Maryland","Fruits","ETS",0.0307702859176907,0.124025790849593,"Food"
"Maryland","Mixed","ARIMA",0.0597959236350455,0.154359834623323,"Food"
"Maryland","Mixed","ETS",0.0508463132504655,0.159267111462431,"Food"
"Maryland","Pasta","ARIMA",0.0396464567681925,0.138441990975043,"Food"
"Maryland","Pasta","ETS",0.0425820917576958,0.142844374011316,"Food"
"Maryland","Salads","ARIMA",0.0407986111111108,0.142826137508355,"Food"
"Maryland","Salads","ETS",0.0407904529656977,0.142833273232807,"Food"
"Maryland","Potatoes","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Maryland","Potatoes","ETS",0.0206219447584875,0.101534180786648,"Food"
"Maryland","Eggs","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Maryland","Eggs","ETS",0.0206710892283965,0.101534162715501,"Food"
"Multistate","Meat","ARIMA",0.382492849447612,0.486491952709982,"Food"
"Multistate","Meat","ETS",0.363110634413153,0.476508856045612,"Food"
"Multistate","Pastries","ARIMA",0.079861111111111,0.199826313471363,"Food"
"Multistate","Pastries","ETS",0.0785764792646066,0.19984087256692,"Food"
"Multistate","Fish","ARIMA",0.054543034642927,0.18773992087186,"Food"
"Multistate","Fish","ETS",0.0568863880661797,0.18766089108693,"Food"
"Multistate","Vegetables","ARIMA",0.460937500000023,0.581260267233095,"Food"
"Multistate","Vegetables","ETS",0.460855931156082,0.581289249777871,"Food"
"Multistate","Dairy","ARIMA",0.121022856052016,0.260079185629763,"Food"
"Multistate","Dairy","ETS",0.12127215191135,0.259963467525409,"Food"
"Multistate","Seafood","ARIMA",0.103872040134335,0.245305808224201,"Food"
"Multistate","Seafood","ETS",0.0979659521514765,0.253533417534528,"Food"
"Multistate","Fruits","ARIMA",0.127105036177058,0.300521323117816,"Food"
"Multistate","Fruits","ETS",0.134402195596658,0.311764145994353,"Food"
"Multistate","Mixed","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Multistate","Mixed","ETS",0.0205829040576841,0.101534172805799,"Food"
"Multistate","Pasta","ARIMA",0.0407986111111331,0.142826137508355,"Food"
"Multistate","Pasta","ETS",0.0425754779942081,0.142844362509061,"Food"
"Multistate","Salads","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Multistate","Salads","ETS",0.0103189971953021,0.0719841772165215,"Food"
"Multistate","Potatoes","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Multistate","Potatoes","ETS",0.0103802491300784,0.0719841905508913,"Food"
"Multistate","Eggs","ARIMA",0.101863753494479,0.196634528807233,"Food"
"Multistate","Eggs","ETS",0.0989422904611503,0.206639489392279,"Food"
"Multistate","Beverages","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Multistate","Beverages","ETS",0.0103448230311778,0.0719841899167323,"Food"
"New York","Meat","ARIMA",0.615017361111073,0.727677049857207,"Food"
"New York","Meat","ETS",0.61504261470056,0.72771336093381,"Food"
"New York","Pastries","ARIMA",0.210959786326685,0.400166335250327,"Food"
"New York","Pastries","ETS",0.229708646948038,0.355063026969447,"Food"
"New York","Fish","ARIMA",0.478515625000067,0.605220883404013,"Food"
"New York","Fish","ETS",0.478376929479861,0.60525092505747,"Food"
"New York","Vegetables","ARIMA",0.170898437500163,0.308832647507783,"Food"
"New York","Vegetables","ETS",0.170787144022257,0.308848027047436,"Food"
"New York","Dairy","ARIMA",0.179361979166668,0.315566551243773,"Food"
"New York","Dairy","ETS",0.179321213699279,0.315582304512368,"Food"
"New York","Seafood","ARIMA",0.14730514486641,0.28743112200563,"Food"
"New York","Seafood","ETS",0.154778025417705,0.295861535380643,"Food"
"New York","Fruits","ARIMA",0.0998263888888429,0.283937774384146,"Food"
"New York","Fruits","ETS",0.0996708484082628,0.283951893577415,"Food"
"New York","Mixed","ARIMA",0.177345586696693,0.404834864539286,"Food"
"New York","Mixed","ETS",0.196517584542561,0.418355756145804,"Food"
"New York","Pasta","ARIMA",0.14738322659212,0.336766395579843,"Food"
"New York","Pasta","ETS",0.147421048790694,0.33719354325229,"Food"
"New York","Salads","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"New York","Salads","ETS",0.0103906506363709,0.0719841864845679,"Food"
"New York","Potatoes","ARIMA",0.0307617187499883,0.124019592706153,"Food"
"New York","Potatoes","ETS",0.0307522796114937,0.124025790765789,"Food"
"New York","Eggs","ARIMA",0.0407986111111111,0.142826137508355,"Food"
"New York","Eggs","ETS",0.0408390626473618,0.142833265357571,"Food"
"New York","Beverages","ARIMA",0.0307617187499225,0.124019592706153,"Food"
"New York","Beverages","ETS",0.0308173045671473,0.124025772111607,"Food"
"Pennsylvania","Meat","ARIMA",0.449218749999757,0.536433049565989,"Food"
"Pennsylvania","Meat","ETS",0.448615204071405,0.53646163748188,"Food"
"Pennsylvania","Pastries","ARIMA",0.117187499999993,0.242061459137964,"Food"
"Pennsylvania","Pastries","ETS",0.117108993653307,0.242073533725726,"Food"
"Pennsylvania","Fish","ARIMA",0.117187500000001,0.242061459137964,"Food"
"Pennsylvania","Fish","ETS",0.117276324253661,0.242073551719137,"Food"
"Pennsylvania","Vegetables","ARIMA",0.126247829861268,0.25124473114984,"Food"
"Pennsylvania","Vegetables","ETS",0.119246048677662,0.251424242078399,"Food"
"Pennsylvania","Dairy","ARIMA",0.201838094042594,0.352966803332444,"Food"
